Time,Home,Away
02 Mar 15:00,Bournemouth,Man City
02 Mar 15:00,Brighton,Huddersfield
02 Mar 15:00,Burnley,Crystal Palace
02 Mar 15:00,Man Utd,Southampton
02 Mar 15:00,Wolves,Cardiff
02 Mar 17:30,West Ham,Newcastle
03 Mar 12:00,Watford,Leicester
03 Mar 14:05,Fulham,Chelsea
03 Mar 16:15,Everton,Liverpool
09 Mar 12:30,Crystal Palace,Brighton
09 Mar 15:00,Cardiff,West Ham
09 Mar 15:00,Huddersfield,Bournemouth
09 Mar 15:00,Leicester,Fulham
09 Mar 15:00,Newcastle,Everton
09 Mar 15:00,Southampton,Spurs
09 Mar 17:30,Man City,Watford
10 Mar 12:00,Liverpool,Burnley
10 Mar 14:05,Chelsea,Wolves
10 Mar 16:30,Arsenal,Man Utd
16 Mar 15:00,Bournemouth,Newcastle
16 Mar 15:00,Burnley,Leicester
16 Mar 15:00,West Ham,Huddersfield
17 Mar 14:15,Fulham,Liverpool
17 Mar 16:30,Everton,Chelsea
30 Mar 12:30,Fulham,Man City
30 Mar 15:00,Brighton,Southampton
30 Mar 15:00,Burnley,Wolves
30 Mar 15:00,Crystal Palace,Huddersfield
30 Mar 15:00,Leicester,Bournemouth
30 Mar 15:00,Man Utd,Watford
30 Mar 17:30,West Ham,Everton
31 Mar 14:05,Cardiff,Chelsea
31 Mar 16:30,Liverpool,Spurs
01 Apr 20:00,Arsenal,Newcastle
02 Apr 19:45,Wolves,Man Utd
05 Apr 20:00,Southampton,Liverpool
06 Apr 12:30,Man City,Cardiff
06 Apr 15:00,Bournemouth,Burnley
06 Apr 15:00,Huddersfield,Leicester
06 Apr 15:00,Newcastle,Crystal Palace
06 Apr 15:00,Watford,Fulham
07 Apr 14:05,Everton,Arsenal
07 Apr 16:30,Spurs,Brighton
08 Apr 20:00,Chelsea,West Ham
12 Apr 20:00,Leicester,Newcastle
13 Apr 12:30,Spurs,Huddersfield
13 Apr 15:00,Brighton,Bournemouth
13 Apr 15:00,Burnley,Cardiff
13 Apr 15:00,Fulham,Everton
13 Apr 15:00,Southampton,Wolves
13 Apr 17:30,Man Utd,West Ham
14 Apr 14:05,Crystal Palace,Man City
14 Apr 16:30,Liverpool,Chelsea
15 Apr 20:00,Watford,Arsenal
20 Apr 12:30,Man City,Spurs
20 Apr 15:00,Arsenal,Crystal Palace
20 Apr 15:00,Bournemouth,Fulham
20 Apr 15:00,Huddersfield,Watford
20 Apr 15:00,West Ham,Leicester
20 Apr 15:00,Wolves,Brighton
20 Apr 17:30,Newcastle,Southampton
21 Apr 13:30,Everton,Man Utd
21 Apr 16:00,Cardiff,Liverpool
22 Apr 20:00,Chelsea,Burnley
24 Apr 20:00,Man Utd,Man City
26 Apr 20:00,Liverpool,Huddersfield
27 Apr 12:30,Spurs,West Ham
27 Apr 15:00,Crystal Palace,Everton
27 Apr 15:00,Fulham,Cardiff
27 Apr 15:00,Southampton,Bournemouth
27 Apr 15:00,Watford,Wolves
27 Apr 17:30,Brighton,Newcastle
28 Apr 14:05,Burnley,Man City
28 Apr 16:30,Man Utd,Chelsea
29 Apr 20:00,Leicester,Arsenal
04 May 15:00,Arsenal,Brighton
04 May 15:00,Bournemouth,Spurs
04 May 15:00,Cardiff,Crystal Palace
04 May 15:00,Chelsea,Watford
04 May 15:00,Everton,Burnley
04 May 15:00,Huddersfield,Man Utd
04 May 15:00,Man City,Leicester
04 May 15:00,Newcastle,Liverpool
04 May 15:00,West Ham,Southampton
04 May 15:00,Wolves,Fulham
12 May 15:00,Brighton,Man City
12 May 15:00,Burnley,Arsenal
12 May 15:00,Crystal Palace,Bournemouth
12 May 15:00,Fulham,Newcastle
12 May 15:00,Leicester,Chelsea
12 May 15:00,Liverpool,Wolves
12 May 15:00,Man Utd,Cardiff
12 May 15:00,Southampton,Huddersfield
12 May 15:00,Spurs,Everton
12 May 15:00,Watford,West Ham
