Gameweek,Time,Home,Away
21,02 Jan 20:00,Newcastle,Man Utd
21,03 Jan 20:00,Man City,Liverpool
22,12 Jan 12:30,West Ham,Arsenal
22,12 Jan 15:00,Brighton,Liverpool
22,12 Jan 15:00,Burnley,Fulham
22,12 Jan 15:00,Cardiff,Huddersfield
22,12 Jan 15:00,Crystal Palace,Watford
22,12 Jan 15:00,Leicester,Southampton
22,12 Jan 17:30,Chelsea,Newcastle
22,13 Jan 14:15,Everton,Bournemouth
22,13 Jan 16:30,Spurs,Man Utd
22,14 Jan 20:00,Man City,Wolves
23,19 Jan 12:30,Wolves,Leicester
23,19 Jan 15:00,Bournemouth,West Ham
23,19 Jan 15:00,Liverpool,Crystal Palace
23,19 Jan 15:00,Man Utd,Brighton
23,19 Jan 15:00,Newcastle,Cardiff
23,19 Jan 15:00,Southampton,Everton
23,19 Jan 15:00,Watford,Burnley
23,19 Jan 17:30,Arsenal,Chelsea
23,20 Jan 13:30,Huddersfield,Man City
23,20 Jan 16:00,Fulham,Spurs
24,29 Jan 19:45,Arsenal,Cardiff
24,29 Jan 19:45,Fulham,Brighton
24,29 Jan 19:45,Huddersfield,Everton
24,29 Jan 19:45,Wolves,West Ham
24,29 Jan 20:00,Man Utd,Burnley
24,29 Jan 20:00,Newcastle,Man City
24,30 Jan 19:45,Bournemouth,Chelsea
24,30 Jan 19:45,Southampton,Crystal Palace
24,30 Jan 20:00,Liverpool,Leicester
24,30 Jan 20:00,Spurs,Watford
25,02 Feb 12:30,Spurs,Newcastle
25,02 Feb 15:00,Brighton,Watford
25,02 Feb 15:00,Burnley,Southampton
25,02 Feb 15:00,Chelsea,Huddersfield
25,02 Feb 15:00,Crystal Palace,Fulham
25,02 Feb 15:00,Everton,Wolves
25,02 Feb 17:30,Cardiff,Bournemouth
25,03 Feb 14:05,Leicester,Man Utd
25,03 Feb 16:30,Man City,Arsenal
25,04 Feb 20:00,West Ham,Liverpool
25,06 Feb 19:45,Everton,Man City
26,09 Feb 12:30,Fulham,Man Utd
26,09 Feb 15:00,Crystal Palace,West Ham
26,09 Feb 15:00,Huddersfield,Arsenal
26,09 Feb 15:00,Liverpool,Bournemouth
26,09 Feb 15:00,Southampton,Cardiff
26,09 Feb 15:00,Watford,Everton
26,09 Feb 17:30,Brighton,Burnley
26,10 Feb 13:30,Spurs,Leicester
26,10 Feb 16:00,Man City,Chelsea
26,11 Feb 20:00,Wolves,Newcastle
27,22 Feb 19:45,Cardiff,Watford
27,22 Feb 19:45,West Ham,Fulham
27,23 Feb 12:30,Burnley,Spurs
27,23 Feb 15:00,Bournemouth,Wolves
27,23 Feb 15:00,Newcastle,Huddersfield
27,23 Feb 17:30,Leicester,Crystal Palace
27,24 Feb 14:05,Arsenal,Southampton
27,24 Feb 14:05,Man Utd,Liverpool
28,26 Feb 19:45,Cardiff,Everton
28,26 Feb 19:45,Huddersfield,Wolves
28,26 Feb 19:45,Leicester,Brighton
28,26 Feb 20:00,Newcastle,Burnley
28,27 Feb 19:45,Arsenal,Bournemouth
28,27 Feb 19:45,Southampton,Fulham
28,27 Feb 20:00,Chelsea,Spurs
28,27 Feb 20:00,Crystal Palace,Man Utd
28,27 Feb 20:00,Liverpool,Watford
28,27 Feb 20:00,Man City,West Ham
29,02 Mar 12:30,Spurs,Arsenal
29,02 Mar 15:00,Bournemouth,Man City
29,02 Mar 15:00,Brighton,Huddersfield
29,02 Mar 15:00,Burnley,Crystal Palace
29,02 Mar 15:00,Man Utd,Southampton
29,02 Mar 15:00,Wolves,Cardiff
29,02 Mar 17:30,West Ham,Newcastle
29,03 Mar 12:00,Watford,Leicester
29,03 Mar 14:05,Fulham,Chelsea
29,03 Mar 16:15,Everton,Liverpool
30,09 Mar 12:30,Crystal Palace,Brighton
30,09 Mar 15:00,Cardiff,West Ham
30,09 Mar 15:00,Huddersfield,Bournemouth
30,09 Mar 15:00,Leicester,Fulham
30,09 Mar 15:00,Newcastle,Everton
30,09 Mar 15:00,Southampton,Spurs
30,09 Mar 17:30,Man City,Watford
30,10 Mar 12:00,Liverpool,Burnley
30,10 Mar 14:05,Chelsea,Wolves
30,10 Mar 16:30,Arsenal,Man Utd
31,16 Mar 15:00,Bournemouth,Newcastle
31,16 Mar 15:00,Burnley,Leicester
31,16 Mar 15:00,West Ham,Huddersfield
31,17 Mar 14:15,Fulham,Liverpool
31,17 Mar 16:30,Everton,Chelsea
32,30 Mar 12:30,Fulham,Man City
32,30 Mar 15:00,Brighton,Southampton
32,30 Mar 15:00,Burnley,Wolves
32,30 Mar 15:00,Crystal Palace,Huddersfield
32,30 Mar 15:00,Leicester,Bournemouth
32,30 Mar 15:00,Man Utd,Watford
32,30 Mar 17:30,West Ham,Everton
32,31 Mar 14:05,Cardiff,Chelsea
32,31 Mar 16:30,Liverpool,Spurs
32,01 Apr 20:00,Arsenal,Newcastle
32,02 Apr 19:45,Wolves,Man Utd
33,05 Apr 20:00,Southampton,Liverpool
33,06 Apr 12:30,Man City,Cardiff
33,06 Apr 15:00,Bournemouth,Burnley
33,06 Apr 15:00,Huddersfield,Leicester
33,06 Apr 15:00,Newcastle,Crystal Palace
33,06 Apr 15:00,Watford,Fulham
33,07 Apr 14:05,Everton,Arsenal
33,07 Apr 16:30,Spurs,Brighton
33,08 Apr 20:00,Chelsea,West Ham
34,12 Apr 20:00,Leicester,Newcastle
34,13 Apr 12:30,Spurs,Huddersfield
34,13 Apr 15:00,Brighton,Bournemouth
34,13 Apr 15:00,Burnley,Cardiff
34,13 Apr 15:00,Fulham,Everton
34,13 Apr 15:00,Southampton,Wolves
34,13 Apr 17:30,Man Utd,West Ham
34,14 Apr 14:05,Crystal Palace,Man City
34,14 Apr 16:30,Liverpool,Chelsea
34,15 Apr 20:00,Watford,Arsenal
35,20 Apr 12:30,Man City,Spurs
35,20 Apr 15:00,Arsenal,Crystal Palace
35,20 Apr 15:00,Bournemouth,Fulham
35,20 Apr 15:00,Huddersfield,Watford
35,20 Apr 15:00,West Ham,Leicester
35,20 Apr 15:00,Wolves,Brighton
35,20 Apr 17:30,Newcastle,Southampton
35,21 Apr 13:30,Everton,Man Utd
35,21 Apr 16:00,Cardiff,Liverpool
35,22 Apr 20:00,Chelsea,Burnley
35,24 Apr 20:00,Man Utd,Man City
36,26 Apr 20:00,Liverpool,Huddersfield
36,27 Apr 12:30,Spurs,West Ham
36,27 Apr 15:00,Crystal Palace,Everton
36,27 Apr 15:00,Fulham,Cardiff
36,27 Apr 15:00,Southampton,Bournemouth
36,27 Apr 15:00,Watford,Wolves
36,27 Apr 17:30,Brighton,Newcastle
36,28 Apr 14:05,Burnley,Man City
36,28 Apr 16:30,Man Utd,Chelsea
36,29 Apr 20:00,Leicester,Arsenal
37,04 May 15:00,Arsenal,Brighton
37,04 May 15:00,Bournemouth,Spurs
37,04 May 15:00,Cardiff,Crystal Palace
37,04 May 15:00,Chelsea,Watford
37,04 May 15:00,Everton,Burnley
37,04 May 15:00,Huddersfield,Man Utd
37,04 May 15:00,Man City,Leicester
37,04 May 15:00,Newcastle,Liverpool
37,04 May 15:00,West Ham,Southampton
37,04 May 15:00,Wolves,Fulham
38,12 May 15:00,Brighton,Man City
38,12 May 15:00,Burnley,Arsenal
38,12 May 15:00,Crystal Palace,Bournemouth
38,12 May 15:00,Fulham,Newcastle
38,12 May 15:00,Leicester,Chelsea
38,12 May 15:00,Liverpool,Wolves
38,12 May 15:00,Man Utd,Cardiff
38,12 May 15:00,Southampton,Huddersfield
38,12 May 15:00,Spurs,Everton
38,12 May 15:00,Watford,West Ham
